iter	Passed	Remaining
409	102890	148061
410	103126	147789
411	103380	147543
412	103642	147307
413	103857	147005
414	104136	146794
415	104408	146573
416	104684	146357
417	104928	146096
418	105176	145841
419	105436	145602
420	105716	145391
421	105969	145142
422	106216	144885
423	106472	144641
424	106824	144527
425	107071	144270
426	107339	144040
427	107536	143716
428	107786	143464
429	108026	143197
430	108278	142947
431	108534	142702
432	108791	142459
433	109047	142214
434	109291	141953
435	109556	141720
436	109804	141464
437	110032	141182
438	110270	140914
439	110533	140678
440	110800	140447
441	111075	140227
442	111311	139955
443	111568	139711
444	111806	139444
445	112072	139211
446	112332	138970
447	112583	138718
448	112852	138488
449	113132	138272
450	113389	138028
451	113633	137767
452	113887	137519
453	114145	137276
454	114397	137025
455	114651	136776
456	114909	136533
457	115152	136271
458	115406	136024
459	115653	135767
460	115943	135560
461	116184	135296
462	116428	135037
463	116672	134776
464	116937	134540
465	117191	134292
466	117460	134060
467	117698	133793
468	117962	133556
469	118236	133330
470	118491	133082
471	118740	132828
472	118983	132567
473	119243	132325
474	119510	132090
475	119768	131845
476	119974	131544
477	120227	131293
478	120477	131041
479	120716	130776
480	120990	130549
481	121243	130298
482	121498	130050
483	121771	129822
484	122021	129569
485	122249	129292
486	122488	129028
487	122740	128776
488	123014	128548
489	123241	128271
490	123492	128019
491	123746	127771
492	124037	127559
493	124275	127293
494	124507	127023
495	124737	126749
496	124990	126499
497	125229	126234
498	125462	125965
499	125726	125726
500	125977	125474
501	126236	125230
502	126507	124998
503	126718	124706
504	126981	124466
505	127266	124248
506	127538	124016
507	127796	123771
508	128030	123502
509	128303	123271
510	128535	123001
511	128793	122756
512	129055	122514
513	129301	122258
514	129554	122007
515	129787	121739
516	130019	121469
517	130244	121192
518	130511	120956
519	130753	120695
520	131126	120555
521	131369	120296
522	131602	120027
523	131863	119784
524	132125	119542
525	132361	119276
526	132614	119026
527	132865	118773
528	133129	118532
529	133396	118295
530	133675	118067
531	133934	117822
532	134195	117578
533	134447	117327
534	134726	117098
535	134973	116842
536	135223	116589
537	135507	116365
538	135770	116122
539	136039	115885
540	136307	115647
541	136572	115406
542	136826	115156
543	137074	114900
544	137330	114652
545	137575	114394
546	137861	114170
547	138105	113912
548	138412	113705
549	138696	113478
550	138928	113210
551	139188	112964
552	139465	112732
553	139745	112502
554	139996	112249
555	140259	112006
556	140519	111760
557	140788	111520
558	141051	111276
559	141300	111022
560	141555	110771
561	141824	110532
562	142109	110305
563	142374	110062
564	142657	109833
565	142929	109596
566	143196	109354
567	143468	109116
568	143729	108870
569	143986	108621
570	144251	108377
571	144525	108141
572	144796	107902
573	145027	107633
574	145283	107383
575	145535	107130
576	145795	106883
577	146059	106638
578	146309	106383
579	146588	106150
580	146804	105870
581	147055	105616
582	147305	105362
583	147557	105109
584	147774	104831
585	147998	104558
586	148251	104306
587	148497	104049
588	148750	103796
589	148972	103523
590	149220	103267
591	149482	103021
592	149750	102779
593	150032	102547
594	150289	102297
595	150560	102057
596	150857	101834
597	151114	101585
598	151360	101328
599	151603	101069
600	151872	100826
601	152122	100572
602	152356	100307
603	152619	100061
604	152860	99801
605	153065	99517
606	153310	99260
607	153562	99007
608	153809	98751
609	154045	98487
610	154305	98240
611	154574	97998
612	154826	97745
613	155082	97494
614	155361	97258
615	155672	97042
616	156000	96836
617	156242	96577
618	156517	96337
619	156794	96099
620	157049	95848
621	157309	95599
622	157527	95325
623	157792	95080
624	158050	94830
625	158285	94566
626	158509	94296
627	158753	94038
628	158994	93779
629	159219	93509
630	159453	93246
631	159696	92988
632	159948	92734
633	160186	92473
634	160437	92219
635	160659	91950
636	160922	91703
637	161146	91434
638	161417	91192
639	161646	90925
640	161915	90682
641	162181	90437
642	162420	90177
643	162656	89915
644	162937	89678
645	163204	89434
646	163440	89172
647	163715	88931
648	163969	88679
649	164224	88428
650	164436	88153
651	164684	87899
652	164930	87642
653	165160	87378
654	165419	87129
655	165670	86875
656	165951	86638
657	166226	86397
658	166458	86134
659	166707	85879
660	166963	85628
661	167219	85377
662	167449	85114
663	167712	84866
664	167964	84613
665	168198	84351
666	168454	84100
667	168736	83863
668	168996	83614
669	169239	83356
670	169500	83108
671	169739	82848
672	169977	82589
673	170262	82352
674	170494	82090
675	170764	81845
676	171028	81598
677	171271	81341
678	171512	81083
679	171750	80823
680	171993	80566
681	172230	80306
682	172484	80055
683	172722	79795
684	172941	79527
685	173182	79270
686	173408	79005
687	173649	78748
688	173935	78510
689	174179	78254
690	174436	78003
691	174668	77742
692	174918	77489
693	175151	77228
694	175407	76977
695	175631	76712
696	175894	76464
697	176128	76204
698	176381	75952
699	176644	75704
700	176874	75442
701	177135	75194
702	177393	74944
703	177639	74689
704	177872	74428
705	178138	74182
706	178384	73927
707	178610	73664
708	178845	73404
709	179083	73146
710	179330	72892
711	179594	72644
712	179829	72385
713	180108	72144
714	180485	71941
715	180805	71716
716	181070	71468
717	181313	71212
718	181598	70972
719	181853	70720
720	182097	70464
721	182343	70209
722	182592	69956
723	182854	69706
724	183117	69458
725	183376	69208
726	183623	68953
727	183891	68706
728	184172	68464
729	184446	68219
730	184706	67969
731	185021	67739
732	185287	67492
733	185569	67249
734	185839	67003
735	186089	66749
736	186319	66488
737	186554	66229
738	186782	65967
739	187271	65798
740	187533	65548
741	187798	65299
742	188065	65050
743	188347	64807
744	188611	64558
745	188855	64301
746	189118	64052
747	189376	63800
748	189644	63552
749	189900	63300
750	190158	63048
751	190402	62792
752	190658	62539
753	190914	62287
754	191175	62037
755	191776	61896
756	192125	61673
757	192369	61416
758	192627	61163
759	192882	60910
760	193090	60641
761	193316	60379
762	193560	60123
763	193825	59872
764	194080	59619
765	194356	59372
766	194620	59122
767	194859	58863
768	195108	58608
769	195350	58351
770	195605	58098
771	195870	57847
772	196123	57593
773	196406	57348
774	196629	57086
775	196888	56833
776	197142	56580
777	197407	56329
778	197689	56083
779	197940	55829
780	198195	55575
781	198480	55330
782	198750	55081
783	199007	54828
784	199276	54578
785	199534	54326
786	199787	54072
787	200044	53819
788	200303	53566
789	200566	53315
790	200821	53061
791	201071	52806
792	201315	52550
793	201551	52291
794	201808	52038
795	202068	51786
796	202367	51544
797	202664	51301
798	203184	51114
799	203434	50858
800	203688	50604
801	203977	50358
802	204190	50093
803	204414	49832
804	204648	49573
805	204898	49318
806	205143	49061
807	205499	48831
808	205740	48574
809	205999	48320
810	206230	48061
811	206489	47807
812	206738	47552
813	206977	47294
814	207219	47037
815	207495	46788
816	207714	46526
817	207941	46265
818	208185	46009
819	208446	45756
820	208711	45504
821	208960	45249
822	209212	44994
823	209469	44741
824	209713	44484
825	209952	44227
826	210214	43974
827	210461	43719
828	210725	43466
829	210993	43215
830	211241	42960
831	211480	42702
832	211724	42446
833	211977	42192
834	212231	41937
835	212485	41683
836	212727	41427
837	212973	41171
838	213215	40914
839	213474	40661
840	213706	40403
841	213976	40152
842	214229	39898
843	214485	39644
844	214758	39393
845	215004	39138
846	215262	38884
847	215540	38634
848	215802	38381
849	216052	38126
850	216310	37873
851	216573	37620
852	216841	37368
853	217111	37117
854	217366	36863
855	217598	36605
856	217853	36351
857	218124	36099
858	218384	35846
859	218639	35592
860	218883	35336
861	219143	35083
862	219370	34824
863	219628	34571
864	219906	34320
865	220168	34067
866	220388	33808
867	220647	33554
868	220935	33305
869	221168	33048
870	221429	32794
871	221676	32539
872	221931	32285
873	222167	32028
874	222429	31775
875	222676	31520
876	222935	31266
877	223192	31013
878	223465	30761
879	223718	30507
880	223962	30251
881	224192	29994
882	224415	29735
883	224687	29483
884	224943	29229
885	225209	28977
886	225460	28722
887	225727	28470
888	225994	28217
889	226238	27962
890	226476	27705
891	226743	27453
892	227006	27200
893	227260	26945
894	227492	26689
895	227723	26432
896	227947	26174
897	228198	25920
898	228474	25668
899	228722	25413
900	228987	25160
901	229359	24919
902	229621	24665
903	229872	24411
904	230139	24158
905	230392	23903
906	230655	23650
907	230943	23399
908	231217	23147
909	231459	22891
910	231693	22635
911	231955	22381
912	232200	22126
913	232449	21871
914	232717	21618
915	232984	21365
916	233257	21112
917	233541	20860
918	233825	20609
919	234104	20356
920	234359	20102
921	234619	19848
922	234871	19593
923	235121	19339
924	235381	19085
925	235632	18830
926	235889	18576
927	236150	18321
928	236414	18068
929	236664	17813
930	236899	17557
931	237147	17302
932	237419	17049
933	237680	16795
934	237924	16540
935	238183	16286
936	238417	16030
937	238678	15776
938	238927	15521
939	239154	15265
940	239419	15011
941	239695	14758
942	239944	14503
943	240200	14249
944	240443	13994
945	240710	13740
946	240959	13485
947	241213	13231
948	241448	12975
949	241728	12722
950	241986	12468
951	242219	12212
952	242465	11957
953	242722	11703
954	242979	11449
955	243241	11195
956	243484	10940
957	243731	10685
958	244000	10431
959	244258	10177
960	244506	9922
961	244766	9668
962	245023	9414
963	245294	9160
964	245564	8906
965	245844	8652
966	246107	8398
967	246343	8143
968	246605	7889
969	246848	7634
970	247108	7380
971	247378	7126
972	247630	6871
973	247890	6617
974	248141	6362
975	248393	6108
976	248628	5853
977	248879	5598
978	249136	5344
979	249396	5089
980	249641	4835
981	249862	4579
982	250132	4325
983	250386	4071
984	250627	3816
985	250887	3562
986	251145	3307
987	251384	3053
988	251606	2798
989	251875	2544
990	252129	2289
991	252381	2035
992	252615	1780
993	252850	1526
994	253099	1271
995	253382	1017
996	253683	763
997	253912	508
998	254156	254
999	254392	0
