iter	RMSE
0	56.36861101
1	56.3235976
2	56.28940789
3	56.26200544
4	56.24357194
5	56.22889597
6	56.21803012
7	56.20662706
8	56.19803056
9	56.19156721
10	56.18685207
11	56.18305471
12	56.18080338
13	56.17815111
14	56.14791649
15	56.12304012
16	56.11910726
17	56.09446456
18	56.07790093
19	56.0551264
20	56.0536101
21	56.0523983
22	56.05113807
23	56.04912662
24	56.04697255
25	56.04656532
26	56.04525889
27	56.04455009
28	56.04407875
29	56.04209515
30	56.04135366
31	56.03925336
32	56.03893205
33	56.03830637
34	56.03702783
35	56.03610453
36	56.03391079
37	56.03367593
38	56.03309176
39	56.03174209
40	56.03118604
41	56.03099178
42	56.03005255
43	56.02961447
44	56.02930524
45	56.02805246
46	56.02764184
47	56.02696967
48	55.99312929
49	55.99244085
50	55.99164255
51	55.99116683
52	55.9901937
53	55.98934443
54	55.98912531
55	55.9890013
56	55.9885138
57	55.98820418
58	55.98788905
59	55.98593867
60	55.98237681
61	55.98188354
62	55.98049185
63	55.97908266
64	55.97827321
65	55.97760936
66	55.97732102
67	55.97708112
68	55.97474225
69	55.97354508
70	55.97019094
71	55.96974246
72	55.9696608
73	55.96924971
74	55.96818918
75	55.96746102
76	55.96674776
77	55.96618338
78	55.96524038
79	55.96466416
80	55.96430115
81	55.96371512
82	55.96260169
83	55.96184635
84	55.95831005
85	55.95785071
86	55.95694434
87	55.95635714
88	55.95605847
89	55.94693042
90	55.9449032
91	55.94425787
92	55.93813172
93	55.93772807
94	55.93722189
95	55.93705744
96	55.9365
97	55.93489258
98	55.93466631
99	55.93365322
100	55.93181345
101	55.93177096
102	55.93105737
103	55.93043267
104	55.92959027
105	55.92924216
106	55.92827517
107	55.92665522
108	55.9264155
109	55.92624608
110	55.92603916
111	55.92528226
112	55.92487957
113	55.92408703
114	55.92340463
115	55.9229472
116	55.9223121
117	55.89515117
118	55.89490939
119	55.8935935
120	55.88888865
121	55.88877492
122	55.87934194
123	55.87614766
124	55.87565833
125	55.87513624
126	55.85789891
127	55.85772055
128	55.8573394
129	55.85402354
130	55.85376982
131	55.81977492
132	55.8196012
133	55.81913206
134	55.81854835
135	55.81816333
136	55.81774518
137	55.79565734
138	55.79181271
139	55.79145263
140	55.79120245
141	55.79103132
142	55.78850067
143	55.78840808
144	55.77899318
145	55.77835798
146	55.77791771
147	55.77075787
148	55.77040815
149	55.77009227
150	55.76994891
151	55.76985453
152	55.76925265
153	55.76888195
154	55.76806404
155	55.76799006
156	55.76593385
157	55.76157972
158	55.75905118
159	55.7589812
160	55.75800924
161	55.75790664
162	55.75770101
163	55.75630396
164	55.75620882
165	55.75576413
166	55.75558831
167	55.75532584
168	55.75466056
169	55.75419687
170	55.75410128
171	55.75282245
172	55.75249283
173	55.75206099
174	55.75105589
175	55.7508534
176	55.75079926
177	55.73504134
178	55.73466604
